site;date;month;id;area;wet_weight;dry_weight;burned_weight;pom
Fish Hoek;2/3/2018;Mar ;FH1;non_cleared;10.777;7.908;7.869;0.039
Fish Hoek;2/3/2018;Mar ;FH10;cleared;10.196;8.051;7.931;0.12
Fish Hoek;2/3/2018;Mar ;FH2;non_cleared;10.127;8.076;8.032;0.044
Fish Hoek;2/3/2018;Mar ;FH3;non_cleared;10.43;10.018;9.807;0.211
Fish Hoek;2/3/2018;Mar ;FH4;non_cleared;10.698;9.351;9.215;0.136
Fish Hoek;2/3/2018;Mar ;FH5;non_cleared;10.185;9.227;7.873;1.354
Fish Hoek;2/3/2018;Mar ;FH6;cleared;10.133;8.007;7.955;0.052
Fish Hoek;2/3/2018;Mar ;FH7;cleared;10.937;8.822;8.696;0.126
Fish Hoek;2/3/2018;Mar ;FH8;cleared;10.485;8.139;8.013;0.126
Fish Hoek;2/3/2018;Mar ;FH9;cleared;10.979;8.816;7.793;1.023
Hout Bay West;2/3/2018;Mar ;HBE10;cleared;10.627;9.613;9.441;0.172
Hout Bay West;2/3/2018;Mar ;HBE9;cleared;10.037;8.977;8.807;0.17
Hout Bay West;2/3/2018;Mar ;HBW1;non_cleared;10.577;8.408;8.287;0.121
Hout Bay West;2/3/2018;Mar ;HBW2;non_cleared;10.453;9.433;7.072;2.361
Hout Bay West;2/3/2018;Mar ;HBW3;non_cleared;10.179;9.122;8.854;0.268
Hout Bay West;2/3/2018;Mar ;HBW4;non_cleared;10.815;9.726;9.58;0.146
Hout Bay West;2/3/2018;Mar ;HBW5;non_cleared;10.293;9.127;8.684;0.443
Hout Bay West;2/3/2018;Mar ;HBW6;cleared;10.848;7.65;7.146;0.504
Hout Bay West;2/3/2018;Mar ;HBW7;cleared;10.402;7.273;6.947;0.326
Hout Bay West;2/3/2018;Mar ;HBW8;cleared;10.538;7.359;6.96;0.399
Strandfontein;2/3/2018;Mar ;SF1;non_cleared;10.608;8.299;8.216;0.083
Strandfontein;2/3/2018;Mar ;SF10;cleared;10.565;10.263;10.221;0.042
Strandfontein;2/3/2018;Mar ;SF2;non_cleared;10.858;9.338;9.287;0.051
Strandfontein;2/3/2018;Mar ;SF3;non_cleared;10.743;9.062;9.02;0.042
Strandfontein;2/3/2018;Mar ;SF4;non_cleared;10.701;9.69;9.565;0.125
Strandfontein;2/3/2018;Mar ;SF5;non_cleared;10.063;8.714;8.696;0.018
Strandfontein;2/3/2018;Mar ;SF6;cleared;10.785;8.977;8.689;0.288
